id,hinban,item,description,remarks,unit,uprice,ouritem,vol,zaiko,kento,hcode,cat
3439,"サンプル SP/207","サンプル SP/207","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3440,"サンプル SP/209","サンプル SP/209","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3441,"タッカーステープル J-1010","タッカーステープル J-1010","100 000本/20box(=5 TFC社使用品 nop  ","","","","","",0,0,"",""
3442,"フクラジャンパー 日本サイズ(2L)","フクラジャンパー 日本サイズ(2L)","フクラジャンパー","",pcs,25.0,"","",0,0,"",""
3443,"フクラジャンパー 日本サイズ(3L)","フクラジャンパー 日本サイズ(3L)","フクラジャンパー","",pcs,25.0,"","",0,0,"",""
3444,"フクラジャンパー 日本サイズ(4L)","フクラジャンパー 日本サイズ(4L)","フクラジャンパー","",pcs,25.0,"","",0,0,"",""
3445,"フクラジャンパー 日本サイズ(L)","フクラジャンパー 日本サイズ(L)","フクラジャンパー","",pcs,25.0,"","",0,0,"",""
3446,"フクラジャンパー 日本サイズ(M)","フクラジャンパー 日本サイズ(M)","フクラジャンパー","",pcs,25.0,"","",0,0,"",""
3447,"フラッティング型号1850-999","フラッティング型号1850-999","GRAY 5mm","OKE社",M,0.4,"",0.00025,0,0,"",""
3448,"メーターサンプル SP/172","メーターサンプル SP/172","布地","サイズ 1000mm×幅なり ロックなし",pcs,6.9,"",0.1,0,0,"",""
3449,"メーターサンプル SP/176","メーターサンプル SP/176","布地","サイズ 1000mm×幅なり ロックなし",pcs,6.9,"","",0,0,"",""
3450,"メーターサンプル SP/178","メーターサンプル SP/178","布地","サイズ 1000mm×幅なり ロックなし",pcs,6.9,"","",0,0,"",""
3451,"メーターサンプル SP/190 (ラルク モカ)","メーターサンプル SP/190","布地:ラルク モカ","サイズ:生地幅×1m 四方ロック有り",pcs,6.2,"","",0,0,"",""
3452,"メーターサンプル SP/191 (ラルク グリーン)","メーターサンプル SP/191","布地:ラルク グリーン","サイズ:生地幅×1m 四方ロック有り",pcs,6.2,"","",0,0,"",""
